,path,index,x,y,v
252,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_252.png,252,400,200,38.0
253,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_253.png,253,400,199,36.0
254,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_254.png,254,746,285,246.0
255,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_255.png,255,400,201,38.0
256,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_256.png,256,731,235,208.0
257,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_257.png,257,723,210,249.0
258,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_258.png,258,711,187,243.0
259,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_259.png,259,826,270,37.0
260,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_260.png,260,682,143,197.0
261,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_261.png,261,689,151,228.0
262,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_262.png,262,706,174,85.0
263,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_263.png,263,715,193,212.0
264,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_264.png,264,725,217,246.0
265,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_265.png,265,826,269,38.0
266,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_266.png,266,400,202,36.0
267,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_267.png,267,751,293,172.0
